DEVIS_ID,Date_opération,CONFIRME,PDV_DEVIS_CONFIRME,CDP,Source File,source_format
RECAP_f0307ecbc1d1,2025-08-29,CONFIRMÉ,2825.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_4f8682756960,2025-06-16,CONFIRMÉ,11640.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_16e4203f419f,2025-05-16,CONFIRMÉ,2570.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_f0fd91318e0a,2025-06-05,CONFIRMÉ,9540.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_7a3c56a5445b,2025-09-11,CONFIRMÉ,3370.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_78818b49a6f0,2025-09-11,CONFIRMÉ,3920.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_0a70752158c2,2025-09-09,CONFIRMÉ,2170.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_deddc1c836a3,2025-09-10,CONFIRMÉ,1535.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_2f61c4fffdc7,2025-09-25,CONFIRMÉ,700.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_df6a1e0faf18,2025-09-17,CONFIRMÉ,1060.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_74bd68871935,2025-08-28,CONFIRMÉ,2795.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_ca803cea8ed5,2025-09-12,CONFIRMÉ,3515.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_5fb4b58dc562,2025-06-05,CONFIRMÉ,1420.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_a18a047e72a4,2025-09-06,CONFIRMÉ,14114.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_970701df3d5d,2025-06-20,CONFIRMÉ,6770.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_0734c08f0d03,2025-06-15,CONFIRMÉ,1940.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_b3ca27489d11,2025-07-01,CONFIRMÉ,2860.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_8e0dce2cd97c,2025-09-05,CONFIRMÉ,7220.0,GABI,DOSSIER TRAVAIL CA.xls,recap
RECAP_e9c51d175390,2025-07-02,CONFIRMÉ,5560.0,GABI,DOSSIER TRAVAIL CA.xls,recap
